Iteration: 319; Percent complete: 8.0%; Average loss: 3.8188
Iteration: 320; Percent complete: 8.0%; Average loss: 3.7279
Iteration: 321; Percent complete: 8.0%; Average loss: 3.9425
Iteration: 322; Percent complete: 8.1%; Average loss: 3.9978
Iteration: 323; Percent complete: 8.1%; Average loss: 3.8732
Iteration: 324; Percent complete: 8.1%; Average loss: 3.9708
Iteration: 325; Percent complete: 8.1%; Average loss: 3.9144
Iteration: 326; Percent complete: 8.2%; Average loss: 3.8784
Iteration: 327; Percent complete: 8.2%; Average loss: 3.7788
Iteration: 328; Percent complete: 8.2%; Average loss: 4.0134
Iteration: 329; Percent complete: 8.2%; Average loss: 4.0526
Iteration: 330; Percent complete: 8.2%; Average loss: 3.8691
Iteration: 331; Percent complete: 8.3%; Average loss: 4.0618
Iteration: 332; Percent complete: 8.3%; Average loss: 4.0178
Iteration: 333; Percent complete: 8.3%; Average loss: 3.8808
Iteration: 334; Percent complete: 8.3%; Average loss: 3.7284
Iteration: 335; Percent complete: 8.4%; Average loss: 3.7063
Iteration: 336; Percent complete: 8.4%; Average loss: 3.8481
Iteration: 337; Percent complete: 8.4%; Average loss: 3.9667
Iteration: 338; Percent complete: 8.5%; Average loss: 4.0004
Iteration: 339; Percent complete: 8.5%; Average loss: 3.7758
Iteration: 340; Percent complete: 8.5%; Average loss: 3.7835
Iteration: 341; Percent complete: 8.5%; Average loss: 3.5785
Iteration: 342; Percent complete: 8.6%; Average loss: 3.9038
Iteration: 343; Percent complete: 8.6%; Average loss: 3.6093
Iteration: 344; Percent complete: 8.6%; Average loss: 3.8603
Iteration: 345; Percent complete: 8.6%; Average loss: 4.0554
Iteration: 346; Percent complete: 8.6%; Average loss: 3.8250
Iteration: 347; Percent complete: 8.7%; Average loss: 3.9882
Iteration: 348; Percent complete: 8.7%; Average loss: 4.0092
Iteration: 349; Percent complete: 8.7%; Average loss: 4.2341
Iteration: 350; Percent complete: 8.8%; Average loss: 3.4914
Iteration: 351; Percent complete: 8.8%; Average loss: 3.8174
Iteration: 352; Percent complete: 8.8%; Average loss: 3.8905
Iteration: 353; Percent complete: 8.8%; Average loss: 3.8572
Iteration: 354; Percent complete: 8.8%; Average loss: 3.9004
Iteration: 355; Percent complete: 8.9%; Average loss: 3.9189
Iteration: 356; Percent complete: 8.9%; Average loss: 3.8396
Iteration: 357; Percent complete: 8.9%; Average loss: 4.0815
Iteration: 358; Percent complete: 8.9%; Average loss: 3.5354
Iteration: 359; Percent complete: 9.0%; Average loss: 3.9896
Iteration: 360; Percent complete: 9.0%; Average loss: 3.7908
Iteration: 361; Percent complete: 9.0%; Average loss: 3.7191
Iteration: 362; Percent complete: 9.0%; Average loss: 3.9060
Iteration: 363; Percent complete: 9.1%; Average loss: 3.7817
Iteration: 364; Percent complete: 9.1%; Average loss: 3.8778
Iteration: 365; Percent complete: 9.1%; Average loss: 3.6249
Iteration: 366; Percent complete: 9.2%; Average loss: 3.6275
